BJ Johnson,F,6.1,0,0.5,2,0,0,0,0
James Johnson,F,21.2,0.714,0.499,7.8,3.2,2.5,0.64,0.49
Stanley Johnson,F,20,0.804,0.454,7.5,3.6,1.3,1,0.27
Stanley Johnson,F,13.7,0.692,0.478,5.3,2.3,1.6,0.67,0.06
Tyler Johnson,G,25.5,0.693,0.516,10.8,2.7,2.5,0.91,0.48
Tyler Johnson,G,31.2,0.872,0.44,11.1,4,4.2,1.08,0.46
Wesley Johnson,F-G,14.5,0.667,0.506,3.7,2.1,0.6,0.46,0.27
Wesley Johnson,F-G,13.1,0.7,0.325,2.8,1.5,0.6,0.17,0.42
Nikola Jokic,C,31.3,0.821,0.545,20.1,10.8,7.3,1.35,0.69
Derrick Jones Jr.,F-G,19.2,0.607,0.535,7,4,0.6,0.77,0.7
Damian Jones,C,17.1,0.649,0.716,5.4,3.1,1.2,0.5,1.04
Jalen Jones,F,13.4,0.704,0.5,5.1,2.1,0.4,0.56,0.13
Jemerrio Jones,F,23.9,0.5,0.394,4.5,8.2,2.2,1.17,1
Terrence Jones,F,2.6,0,0.25,1,2,0,0,0
Tyus Jones,G,22.9,0.841,0.46,6.9,2,4.8,1.19,0.07
DeAndre Jordan,C,31.1,0.682,0.644,11,13.7,2,0.64,1.06
DeAndre Jordan,C,26,0.773,0.634,10.9,11.3,3,0.47,1.05
Cory Joseph,G,25.2,0.698,0.463,6.5,3.4,3.9,1.13,0.27
Frank Kaminsky,F-C,16.1,0.738,0.545,8.6,3.5,1.3,0.26,0.28
Enes Kanter,C,25.6,0.814,0.544,14,10.5,1.9,0.41,0.41
Enes Kanter,C,22.2,0.735,0.584,13.1,8.6,1.4,0.61,0.39
Luke Kennard,G,22.8,0.836,0.54,9.7,2.9,1.8,0.41,0.14
Michael Kidd-Gilchrist,F,18.4,0.772,0.5,6.7,3.8,1,0.5,0.61
George King,F,5.9,0,,0,1,0,0,0
Maxi Kleber,F,21.2,0.784,0.553,6.8,4.6,1,0.51,1.11
Brandon Knight,G,9.8,0.818,0.287,3,0.8,0.8,0.17,0
Brandon Knight,G,22.9,0.783,0.498,8.5,1.9,2.3,0.7,0.07
Kevin Knox,F,28.8,0.717,0.438,12.8,4.5,1.1,0.56,0.32
Furkan Korkmaz,G-F,14.2,0.818,0.496,5.8,2.3,1.1,0.6,0.04
Luke Kornet,F-C,17,0.826,0.502,7,2.9,1.2,0.59,0.91
Kyle Korver,G-F,15.7,0.813,0.625,6.8,1.8,1.1,0.19,0.13
Kyle Korver,G-F,20,0.825,0.547,9.1,2.5,1.2,0.41,0.19
Kosta Koufos,C,11.9,0.417,0.477,3.7,4.2,0.9,0.36,0.43
Rodions Kurucs,F,20.5,0.783,0.514,8.5,3.9,0.8,0.67,0.43
Kyle Kuzma,F,33.1,0.752,0.515,18.7,5.5,2.5,0.57,0.37
